subject	 session	 trial	 flanked	 distortion	 freq	 amplitude	 spacing	 im_name	 targ_letter	 targ_pos	 response	 eyemovement	 RT
8	 2	 1	 unflanked	 bex	 4	 2.500000	 0.000000	 unflanked_bex_freq_4_amplitude_2.5_rep_4_b_D.png	 D	 b	 b	 n.a.	 4.373290e-01
8	 2	 2	 unflanked	 bex	 2	 2.500000	 0.000000	 unflanked_bex_freq_2_amplitude_2.5_rep_9_r_N.png	 N	 r	 b	 n.a.	 7.896141e-01
8	 2	 3	 unflanked	 bex	 32	 1.000000	 0.000000	 unflanked_bex_freq_32_amplitude_1_rep_8_l_H.png	 H	 l	 t	 n.a.	 5.930528e-01
8	 2	 4	 unflanked	 bex	 2	 2.500000	 0.000000	 unflanked_bex_freq_2_amplitude_2.5_rep_7_t_K.png	 K	 t	 b	 n.a.	 5.659876e-01
8	 2	 5	 unflanked	 bex	 4	 0.500000	 0.000000	 unflanked_bex_freq_4_amplitude_0.5_rep_1_t_N.png	 N	 t	 l	 n.a.	 5.644453e-01
8	 2	 6	 unflanked	 bex	 32	 1.500000	 0.000000	 unflanked_bex_freq_32_amplitude_1.5_rep_3_l_N.png	 N	 l	 t	 n.a.	 5.369734e-01
8	 2	 7	 unflanked	 bex	 32	 1.000000	 0.000000	 unflanked_bex_freq_32_amplitude_1_rep_5_l_D.png	 D	 l	 b	 n.a.	 3.869946e-01
8	 2	 8	 unflanked	 bex	 4	 5.000000	 0.000000	 unflanked_bex_freq_4_amplitude_5_rep_7_r_K.png	 K	 r	 r	 n.a.	 2.224086e-01
8	 2	 9	 unflanked	 bex	 6	 2.000000	 0.000000	 unflanked_bex_freq_6_amplitude_2_rep_5_l_N.png	 N	 l	 l	 n.a.	 3.421725e-01
8	 2	 10	 unflanked	 bex	 16	 2.500000	 0.000000	 unflanked_bex_freq_16_amplitude_2.5_rep_4_r_H.png	 H	 r	 r	 n.a.	 3.208536e-01
8	 2	 11	 unflanked	 bex	 32	 5.000000	 0.000000	 unflanked_bex_freq_32_amplitude_5_rep_1_b_H.png	 H	 b	 b	 n.a.	 3.583209e-01
8	 2	 12	 unflanked	 bex	 6	 0.500000	 0.000000	 unflanked_bex_freq_6_amplitude_0.5_rep_3_b_D.png	 D	 b	 b	 n.a.	 4.712851e-01
8	 2	 13	 unflanked	 bex	 2	 5.000000	 0.000000	 unflanked_bex_freq_2_amplitude_5_rep_6_b_D.png	 D	 b	 b	 n.a.	 3.396426e-01
8	 2	 14	 unflanked	 bex	 32	 1.000000	 0.000000	 unflanked_bex_freq_32_amplitude_1_rep_9_r_K.png	 K	 r	 b	 n.a.	 5.194120e-01
8	 2	 15	 unflanked	 bex	 8	 2.500000	 0.000000	 unflanked_bex_freq_8_amplitude_2.5_rep_5_b_D.png	 D	 b	 b	 n.a.	 2.734539e-01
8	 2	 16	 unflanked	 bex	 4	 1.500000	 0.000000	 unflanked_bex_freq_4_amplitude_1.5_rep_2_t_H.png	 H	 t	 b	 n.a.	 6.604356e-01
8	 2	 17	 unflanked	 bex	 16	 1.000000	 0.000000	 unflanked_bex_freq_16_amplitude_1_rep_1_l_K.png	 K	 l	 b	 n.a.	 2.961319e-01
8	 2	 18	 unflanked	 bex	 4	 2.000000	 0.000000	 unflanked_bex_freq_4_amplitude_2_rep_1_r_D.png	 D	 r	 r	 n.a.	 2.431202e-01
8	 2	 19	 unflanked	 bex	 32	 1.500000	 0.000000	 unflanked_bex_freq_32_amplitude_1.5_rep_9_b_H.png	 H	 b	 b	 n.a.	 4.286435e-01
8	 2	 20	 unflanked	 bex	 32	 2.000000	 0.000000	 unflanked_bex_freq_32_amplitude_2_rep_0_r_N.png	 N	 r	 r	 n.a.	 4.373147e-01
8	 2	 21	 unflanked	 bex	 16	 2.000000	 0.000000	 unflanked_bex_freq_16_amplitude_2_rep_5_l_D.png	 D	 l	 l	 n.a.	 2.967763e-01
8	 2	 22	 unflanked	 bex	 8	 2.500000	 0.000000	 unflanked_bex_freq_8_amplitude_2.5_rep_6_l_K.png	 K	 l	 l	 n.a.	 2.361659e-01
8	 2	 23	 unflanked	 bex	 6	 0.500000	 0.000000	 unflanked_bex_freq_6_amplitude_0.5_rep_7_l_D.png	 D	 l	 b	 n.a.	 5.523001e-01
8	 2	 24	 unflanked	 bex	 6	 1.000000	 0.000000	 unflanked_bex_freq_6_amplitude_1_rep_7_t_H.png	 H	 t	 b	 n.a.	 3.577081e-01
8	 2	 25	 unflanked	 bex	 8	 0.500000	 0.000000	 unflanked_bex_freq_8_amplitude_0.5_rep_0_b_N.png	 N	 b	 l	 n.a.	 3.344698e-01
8	 2	 26	 unflanked	 bex	 8	 1.500000	 0.000000	 unflanked_bex_freq_8_amplitude_1.5_rep_6_r_D.png	 D	 r	 r	 n.a.	 2.072117e-01
8	 2	 27	 unflanked	 bex	 6	 2.500000	 0.000000	 unflanked_bex_freq_6_amplitude_2.5_rep_1_b_H.png	 H	 b	 b	 n.a.	 3.113695e-01
8	 2	 28	 unflanked	 bex	 2	 5.000000	 0.000000	 unflanked_bex_freq_2_amplitude_5_rep_3_l_N.png	 N	 l	 l	 n.a.	 2.618827e-01
8	 2	 29	 unflanked	 bex	 32	 1.000000	 0.000000	 unflanked_bex_freq_32_amplitude_1_rep_1_l_K.png	 K	 l	 l	 n.a.	 5.999001e-01
8	 2	 30	 unflanked	 bex	 16	 0.500000	 0.000000	 unflanked_bex_freq_16_amplitude_0.5_rep_5_l_K.png	 K	 l	 b	 n.a.	 4.029034e-01
8	 2	 31	 unflanked	 bex	 2	 2.500000	 0.000000	 unflanked_bex_freq_2_amplitude_2.5_rep_5_b_K.png	 K	 b	 l	 n.a.	 3.427845e-01
8	 2	 32	 unflanked	 bex	 8	 3.000000	 0.000000	 unflanked_bex_freq_8_amplitude_3_rep_8_l_H.png	 H	 l	 l	 n.a.	 3.014475e-01
8	 2	 33	 unflanked	 bex	 2	 0.500000	 0.000000	 unflanked_bex_freq_2_amplitude_0.5_rep_6_l_H.png	 H	 l	 b	 n.a.	 8.381294e-01
8	 2	 34	 unflanked	 bex	 2	 2.000000	 0.000000	 unflanked_bex_freq_2_amplitude_2_rep_5_r_K.png	 K	 r	 l	 n.a.	 3.593045e-01
8	 2	 35	 unflanked	 bex	 8	 1.500000	 0.000000	 unflanked_bex_freq_8_amplitude_1.5_rep_2_l_H.png	 H	 l	 l	 n.a.	 3.321887e-01
8	 2	 36	 unflanked	 bex	 6	 5.000000	 0.000000	 unflanked_bex_freq_6_amplitude_5_rep_7_l_D.png	 D	 l	 l	 n.a.	 2.056775e-01
8	 2	 37	 unflanked	 bex	 6	 3.000000	 0.000000	 unflanked_bex_freq_6_amplitude_3_rep_6_l_K.png	 K	 l	 l	 n.a.	 2.132603e-01
8	 2	 38	 unflanked	 bex	 32	 2.000000	 0.000000	 unflanked_bex_freq_32_amplitude_2_rep_1_r_K.png	 K	 r	 r	 n.a.	 5.021679e-01
8	 2	 39	 unflanked	 bex	 6	 2.000000	 0.000000	 unflanked_bex_freq_6_amplitude_2_rep_3_t_K.png	 K	 t	 t	 n.a.	 4.921907e-01
8	 2	 40	 unflanked	 bex	 4	 5.000000	 0.000000	 unflanked_bex_freq_4_amplitude_5_rep_0_t_D.png	 D	 t	 t	 n.a.	 2.547577e-01
8	 2	 41	 unflanked	 bex	 32	 1.000000	 0.000000	 unflanked_bex_freq_32_amplitude_1_rep_3_l_H.png	 H	 l	 l	 n.a.	 3.907947e-01
8	 2	 42	 unflanked	 bex	 2	 0.500000	 0.000000	 unflanked_bex_freq_2_amplitude_0.5_rep_2_t_D.png	 D	 t	 r	 n.a.	 4.547585e-01
8	 2	 43	 unflanked	 bex	 8	 1.000000	 0.000000	 unflanked_bex_freq_8_amplitude_1_rep_1_l_H.png	 H	 l	 l	 n.a.	 3.658870e-01
8	 2	 44	 unflanked	 bex	 8	 1.000000	 0.000000	 unflanked_bex_freq_8_amplitude_1_rep_0_b_N.png	 N	 b	 l	 n.a.	 7.245928e-01
8	 2	 45	 unflanked	 bex	 32	 5.000000	 0.000000	 unflanked_bex_freq_32_amplitude_5_rep_3_t_D.png	 D	 t	 t	 n.a.	 4.125600e-01
8	 2	 46	 unflanked	 bex	 2	 1.500000	 0.000000	 unflanked_bex_freq_2_amplitude_1.5_rep_5_l_H.png	 H	 l	 b	 n.a.	 6.284470e-01
8	 2	 47	 unflanked	 bex	 16	 2.000000	 0.000000	 unflanked_bex_freq_16_amplitude_2_rep_4_b_D.png	 D	 b	 b	 n.a.	 3.460945e-01
8	 2	 48	 unflanked	 bex	 6	 1.000000	 0.000000	 unflanked_bex_freq_6_amplitude_1_rep_6_r_N.png	 N	 r	 r	 n.a.	 3.910848e-01
8	 2	 49	 unflanked	 bex	 2	 2.500000	 0.000000	 unflanked_bex_freq_2_amplitude_2.5_rep_0_r_H.png	 H	 r	 r	 n.a.	 3.711691e-01
8	 2	 50	 unflanked	 bex	 4	 3.000000	 0.000000	 unflanked_bex_freq_4_amplitude_3_rep_7_t_D.png	 D	 t	 t	 n.a.	 3.426954e-01
8	 2	 51	 unflanked	 bex	 32	 3.000000	 0.000000	 unflanked_bex_freq_32_amplitude_3_rep_9_r_H.png	 H	 r	 r	 n.a.	 2.953859e-01
8	 2	 52	 unflanked	 bex	 32	 1.500000	 0.000000	 unflanked_bex_freq_32_amplitude_1.5_rep_2_l_D.png	 D	 l	 b	 n.a.	 4.770972e-01
8	 2	 53	 unflanked	 bex	 6	 2.000000	 0.000000	 unflanked_bex_freq_6_amplitude_2_rep_1_b_D.png	 D	 b	 b	 n.a.	 3.338376e-01
8	 2	 54	 unflanked	 bex	 8	 2.000000	 0.000000	 unflanked_bex_freq_8_amplitude_2_rep_7_r_N.png	 N	 r	 r	 n.a.	 2.286707e-01
8	 2	 55	 unflanked	 bex	 2	 3.000000	 0.000000	 unflanked_bex_freq_2_amplitude_3_rep_4_r_H.png	 H	 r	 r	 n.a.	 2.364594e-01
8	 2	 56	 unflanked	 bex	 2	 2.000000	 0.000000	 unflanked_bex_freq_2_amplitude_2_rep_3_l_D.png	 D	 l	 r	 n.a.	 8.478417e-01
8	 2	 57	 unflanked	 bex	 2	 3.000000	 0.000000	 unflanked_bex_freq_2_amplitude_3_rep_1_l_K.png	 K	 l	 r	 n.a.	 4.089236e-01
8	 2	 58	 unflanked	 bex	 16	 2.500000	 0.000000	 unflanked_bex_freq_16_amplitude_2.5_rep_6_r_K.png	 K	 r	 r	 n.a.	 2.767582e-01
8	 2	 59	 unflanked	 bex	 8	 2.500000	 0.000000	 unflanked_bex_freq_8_amplitude_2.5_rep_1_t_H.png	 H	 t	 t	 n.a.	 3.174261e-01
8	 2	 60	 unflanked	 bex	 4	 5.000000	 0.000000	 unflanked_bex_freq_4_amplitude_5_rep_1_l_N.png	 N	 l	 l	 n.a.	 2.494650e-01
8	 2	 61	 unflanked	 bex	 6	 1.500000	 0.000000	 unflanked_bex_freq_6_amplitude_1.5_rep_8_l_H.png	 H	 l	 r	 n.a.	 7.073711e-01
8	 2	 62	 unflanked	 bex	 4	 2.000000	 0.000000	 unflanked_bex_freq_4_amplitude_2_rep_6_l_D.png	 D	 l	 l	 n.a.	 2.042014e-01
8	 2	 63	 unflanked	 bex	 32	 2.500000	 0.000000	 unflanked_bex_freq_32_amplitude_2.5_rep_6_b_H.png	 H	 b	 b	 n.a.	 5.295851e-01
8	 2	 64	 unflanked	 bex	 16	 3.000000	 0.000000	 unflanked_bex_freq_16_amplitude_3_rep_1_r_K.png	 K	 r	 r	 n.a.	 2.506366e-01
8	 2	 65	 unflanked	 bex	 8	 2.500000	 0.000000	 unflanked_bex_freq_8_amplitude_2.5_rep_0_t_N.png	 N	 t	 t	 n.a.	 2.793882e-01
8	 2	 66	 unflanked	 bex	 2	 0.500000	 0.000000	 unflanked_bex_freq_2_amplitude_0.5_rep_9_t_H.png	 H	 t	 b	 n.a.	 5.431431e-01
8	 2	 67	 unflanked	 bex	 6	 3.000000	 0.000000	 unflanked_bex_freq_6_amplitude_3_rep_5_b_K.png	 K	 b	 b	 n.a.	 2.543148e-01
8	 2	 68	 unflanked	 bex	 2	 5.000000	 0.000000	 unflanked_bex_freq_2_amplitude_5_rep_5_r_K.png	 K	 r	 r	 n.a.	 3.070914e-01
8	 2	 69	 unflanked	 bex	 2	 3.000000	 0.000000	 unflanked_bex_freq_2_amplitude_3_rep_3_r_N.png	 N	 r	 r	 n.a.	 4.808677e-01
8	 2	 70	 unflanked	 bex	 4	 2.500000	 0.000000	 unflanked_bex_freq_4_amplitude_2.5_rep_1_r_H.png	 H	 r	 r	 n.a.	 2.942026e-01
8	 2	 71	 unflanked	 bex	 32	 3.000000	 0.000000	 unflanked_bex_freq_32_amplitude_3_rep_2_l_N.png	 N	 l	 r	 n.a.	 5.766454e-01
8	 2	 72	 unflanked	 bex	 16	 3.000000	 0.000000	 unflanked_bex_freq_16_amplitude_3_rep_9_r_K.png	 K	 r	 r	 n.a.	 2.743666e-01
8	 2	 73	 unflanked	 bex	 4	 1.500000	 0.000000	 unflanked_bex_freq_4_amplitude_1.5_rep_5_r_K.png	 K	 r	 b	 n.a.	 7.188703e-01
8	 2	 74	 unflanked	 bex	 32	 1.000000	 0.000000	 unflanked_bex_freq_32_amplitude_1_rep_2_t_N.png	 N	 t	 r	 n.a.	 4.470836e-01
8	 2	 75	 unflanked	 bex	 16	 1.000000	 0.000000	 unflanked_bex_freq_16_amplitude_1_rep_5_r_D.png	 D	 r	 r	 n.a.	 3.371160e-01
8	 2	 76	 unflanked	 bex	 6	 1.500000	 0.000000	 unflanked_bex_freq_6_amplitude_1.5_rep_2_b_D.png	 D	 b	 b	 n.a.	 3.882704e-01
8	 2	 77	 unflanked	 bex	 8	 5.000000	 0.000000	 unflanked_bex_freq_8_amplitude_5_rep_5_r_D.png	 D	 r	 r	 n.a.	 1.945796e-01
8	 2	 78	 unflanked	 bex	 4	 1.500000	 0.000000	 unflanked_bex_freq_4_amplitude_1.5_rep_7_b_N.png	 N	 b	 b	 n.a.	 4.556205e-01
8	 2	 79	 unflanked	 bex	 4	 2.500000	 0.000000	 unflanked_bex_freq_4_amplitude_2.5_rep_3_r_H.png	 H	 r	 r	 n.a.	 2.043683e-01
