"","subject","flanked","freq","sens","sensconfi_low","sensconfi_high","threshold","threshconfi_low","threshconfi_high","distortion","log_freq"
"48","ST","flanked",21.3,21.800255,2.947062,5.438321,0.045871,0.009158,0.00717,"BPN",3.05870707271538
"49","TW","unflanked",1.3,21.750498,3.186695,5.448061,0.045976,0.009209,0.007892,"BPN",0.262364264467491
"50","TW","unflanked",2.6,25.090562,3.339678,4.088578,0.039856,0.005585,0.00612,"BPN",0.955511445027436
"51","TW","unflanked",4,29.298742,5.497989,8.200543,0.034131,0.007464,0.007884,"BPN",1.38629436111989
"52","TW","unflanked",5.3,34.835101,8.084438,14.894379,0.028707,0.008598,0.008676,"BPN",1.66770682055808
"53","TW","unflanked",10.6,27.0269,5.602708,10.961088,0.037,0.010676,0.009676,"BPN",2.36085400111802
"54","TW","unflanked",21.3,19.902234,3.49211,5.99289,0.050246,0.011628,0.010692,"BPN",3.05870707271538
"55","TW","flanked",1.3,13.439664,1.862805,2.232845,0.074407,0.010601,0.011973,"BPN",0.262364264467491
"56","TW","flanked",2.6,14.412803,3.405216,6.071582,0.069383,0.020565,0.021464,"BPN",0.955511445027436
"57","TW","flanked",4,15.912062,2.233221,3.481823,0.062845,0.011283,0.01026,"BPN",1.38629436111989
"58","TW","flanked",5.3,17.781747,2.350923,3.406722,0.056237,0.009042,0.008568,"BPN",1.66770682055808
"59","TW","flanked",10.6,21.850348,3.881053,5.364939,0.045766,0.009022,0.009885,"BPN",2.36085400111802
"60","TW","flanked",21.3,12.461166,2.972405,5.884275,0.080249,0.02574,0.025139,"BPN",3.05870707271538
"61","AM","unflanked",2,6.566923,0.866472,1.351811,0.152278,0.025996,0.023146,"RF",0.693147180559945
"62","AM","unflanked",3,10.07755,2.286688,3.339739,0.09923,0.0247,0.029125,"RF",1.09861228866811
"63","AM","unflanked",4,8.776415,1.194231,2.051116,0.113942,0.021585,0.017946,"RF",1.38629436111989
"64","AM","unflanked",5,12.050108,3.434011,5.360204,0.082987,0.02555,0.033075,"RF",1.6094379124341
"65","AM","unflanked",8,11.414426,3.25848,8.148306,0.087608,0.036491,0.035001,"RF",2.07944154167984
"66","AM","unflanked",12,11.854654,2.564688,4.062008,0.084355,0.021528,0.023288,"RF",2.484906649788
"67","AM","flanked",2,3.81324,0.660742,1.01814,0.262244,0.055264,0.054965,"RF",0.693147180559945
