"","subject","session","trial","flanked","distortion","freq","amplitude","spacing","im_name","targ_letter","targ_pos","response","eyemovement","RT","experiment","correct"
"37","TW",1,7," flanked","RF",4,0.425,2," flanked_rf_freq_4_amplitude_0.425_rep_4_t_D_2.0.png"," D"," t"," l"," n.a.",0.2034631,"a",0
"38","TW",1,7," flanked","BPN",4,6,2," flanked_bex_freq_4_amplitude_6_rep_9_b_D_2.0.png"," D"," b"," b"," n.a.",0.3988067,"a",1
"39","TW",1,7," flanked","RF",4,0.125,2," flanked_rf_freq_4_amplitude_0.125_rep_0_r_D_2.0.png"," D"," r"," r"," n.a.",0.110838,"a",1
"40","TW",1,7," flanked","BPN",4,7,2," flanked_bex_freq_4_amplitude_7_rep_3_t_N_2.0.png"," N"," t"," b"," n.a.",1.001454,"a",0
"41","TW",1,7," flanked","RF",4,0.35,2," flanked_rf_freq_4_amplitude_0.35_rep_4_b_N_2.0.png"," N"," b"," t"," n.a.",0.4447826,"a",0
"42","TW",1,7," flanked","BPN",4,5,2," flanked_bex_freq_4_amplitude_5_rep_1_b_K_2.0.png"," K"," b"," l"," n.a.",0.5998494,"a",0
"43","TW",1,8," flanked","RF",4,0.5,2," flanked_rf_freq_4_amplitude_0.5_rep_8_t_H_2.0.png"," H"," t"," t"," n.a.",0.3807812,"a",1
"44","TW",1,8," flanked","BPN",4,6,2," flanked_bex_freq_4_amplitude_6_rep_8_l_D_2.0.png"," D"," l"," l"," n.a.",0.3493884,"a",1
"45","TW",1,8," flanked","RF",4,0.5,2," flanked_rf_freq_4_amplitude_0.5_rep_8_t_D_2.0.png"," D"," t"," t"," n.a.",0.6661767,"a",1
"46","TW",1,8," flanked","BPN",4,2,2," flanked_bex_freq_4_amplitude_2_rep_1_b_N_2.0.png"," N"," b"," r"," n.a.",0.5588934,"a",0
"47","TW",1,8," flanked","RF",4,0.125,2," flanked_rf_freq_4_amplitude_0.125_rep_2_t_D_2.0.png"," D"," t"," l"," n.a.",0.3852122,"a",0
"48","TW",1,8," flanked","BPN",4,1,2," flanked_bex_freq_4_amplitude_1_rep_5_t_N_2.0.png"," N"," t"," t"," n.a.",0.4458645,"a",1
