letter,flanked,distortion,freq,amplitude,rep,FC,SE
N,flanked,rf,8,0.32,1,2.66184173469372,1.2489726634545
N,flanked,rf,8,0.32,3,2.66714975218344,1.27859461110658
N,flanked,rf,8,0.32,6,2.6658588078263,1.30082639280583
N,flanked,rf,8,0.32,8,2.66318189778608,1.28937195559438
N,flanked,rf,12,0.0075,0,2.66334224369564,1.26483446748827
N,flanked,rf,12,0.01,4,2.66137530498702,1.29584198331516
N,flanked,rf,12,0.01,6,2.65935816931556,1.29067882440956
N,flanked,rf,12,0.01,7,2.66107640347994,1.29423182338048
N,flanked,rf,12,0.165,2,2.66434890999611,1.324746341039
N,flanked,rf,12,0.165,3,2.66454094969551,1.29340927591339
N,flanked,rf,12,0.165,4,2.66167193919299,1.27068475899808
N,flanked,rf,12,0.0617,3,2.66042955673248,1.29879003878845
N,flanked,rf,12,0.0617,4,2.6602994583601,1.25813060209103
N,flanked,rf,12,0.0617,6,2.66258205913768,1.30647007781795
N,flanked,rf,12,0.0617,7,2.66555570344813,1.29665979624603
N,flanked,rf,12,0.1133,0,2.66608960132723,1.32744945546355
N,flanked,rf,12,0.1133,1,2.66452513722445,1.29965440137463
N,flanked,rf,12,0.1133,4,2.66040290010982,1.3244187866887
N,flanked,rf,12,0.1133,8,2.6640633174701,1.32269645964845
N,flanked,rf,12,0.2167,1,2.65778801830035,1.28743285609047
N,flanked,rf,12,0.2167,2,2.66318175618118,1.29036376444515
N,flanked,rf,12,0.2167,4,2.66409577323534,1.30369298488752
N,flanked,rf,12,0.2167,8,2.66545909549761,1.29698113592274
N,flanked,rf,12,0.2683,0,2.66659052276061,1.31957401665988
N,flanked,rf,12,0.32,6,2.6640747720617,1.30145024405194
N,flanked,rf,12,0.32,8,2.65865758356528,1.25020194454871
N,flanked,bex,2,0.25,2,2.66147924361026,1.25022895053241
N,flanked,bex,2,0.25,5,2.65884348044801,1.2941962752356
N,flanked,bex,2,0.5,3,2.66427818956009,1.30786506585779
N,flanked,bex,2,0.5,8,2.66377254752522,1.28574193362496
N,flanked,bex,2,1,2,2.66262955189158,1.32866518966996
N,flanked,bex,2,1,5,2.6635563870038,1.29902871549544
N,flanked,bex,2,1,7,2.66257907180759,1.27970868907979
N,flanked,bex,2,1.5,3,2.66337122798616,1.26905056563199
N,flanked,bex,2,1.5,4,2.66043045150992,1.27018477053208
N,flanked,bex,2,2,0,2.65905266854975,1.29538285950504
N,flanked,bex,2,2,2,2.66423276127151,1.28001141302572
N,flanked,bex,2,2,4,2.66191932088121,1.29501042901259
N,flanked,bex,2,2,6,2.66204891977931,1.28966161458619
N,flanked,bex,2,2.5,4,2.66329336855169,1.32171414238078
N,flanked,bex,2,2.5,5,2.65865802564431,1.32077345393663
N,flanked,bex,2,2.5,9,2.66065682198131,1.27440249732299
N,flanked,bex,2,3,6,2.66370889696792,1.25821549454746
N,flanked,bex,2,3,9,2.66113587121364,1.24150402548329
N,flanked,bex,2,5,0,2.66280740517201,1.35168681576764
N,flanked,bex,2,5,1,2.66361662315444,1.30165800531815
N,flanked,bex,2,5,2,2.66246642104004,1.30628783266474
N,flanked,bex,2,5,9,2.66356476043688,1.3037686566318
N,flanked,bex,4,0.25,9,2.66282385457064,1.28856873665042
N,flanked,bex,4,0.5,2,2.66110703446586,1.2842752035971
N,flanked,bex,4,0.5,4,2.6623766903928,1.29453194999263
N,flanked,bex,4,1,1,2.667010465997,1.32429716140857
N,flanked,bex,4,1.5,1,2.66239281558039,1.3058726543324
N,flanked,bex,4,1.5,4,2.65965420183387,1.31160201494583
N,flanked,bex,4,1.5,6,2.6654953950366,1.27526604843625
N,flanked,bex,4,1.5,8,2.66190627066676,1.31134457703303
N,flanked,bex,4,2,4,2.66067721031519,1.25645171642941
N,flanked,bex,4,2.5,1,2.66284299888896,1.28111793009871
N,flanked,bex,4,2.5,2,2.66295102182225,1.29665998545393
N,flanked,bex,4,2.5,6,2.66667846571593,1.31406660083733
N,flanked,bex,4,3,2,2.66271306964904,1.29688257487067
N,flanked,bex,4,3,8,2.66376977034012,1.28156459380072
N,flanked,bex,4,5,5,2.66417858105591,1.26992271658699
N,flanked,bex,4,5,6,2.66352973176759,1.28888060699581
N,flanked,bex,4,5,8,2.66406118169976,1.27750785257594
N,flanked,bex,4,5,9,2.66470928283945,1.2953239008798
N,flanked,bex,6,0.25,4,2.66561941356775,1.2802615461411
N,flanked,bex,6,0.5,0,2.66063729866934,1.26640978294997
N,flanked,bex,6,0.5,9,2.66176305724703,1.28034390879808
N,flanked,bex,6,1.5,0,2.66525356524589,1.28426860159968
N,flanked,bex,6,1.5,2,2.66296729900508,1.25234276624336
N,flanked,bex,6,1.5,3,2.66206096618757,1.29621216417509
N,flanked,bex,6,1.5,6,2.66144952342225,1.34299203052843
N,flanked,bex,6,2,7,2.66519166716246,1.2550317312261
N,flanked,bex,6,2.5,0,2.66229943381702,1.29624798433576
N,flanked,bex,6,2.5,7,2.66170844107999,1.31479710380603
N,flanked,bex,6,3,1,2.66509488783288,1.30717920273473
N,flanked,bex,6,5,0,2.66408761825565,1.24989736184337
N,flanked,bex,8,0.25,1,2.66054091751432,1.30992914462128
N,flanked,bex,8,0.25,2,2.65919377458034,1.33074009993339
N,flanked,bex,8,0.5,6,2.66034392326021,1.32451374094406
N,flanked,bex,8,1,2,2.66138074459156,1.31385070886173
N,flanked,bex,8,1,4,2.66001828464962,1.27910180945334
N,flanked,bex,8,1,5,2.66203606004021,1.30965454771621
N,flanked,bex,8,1.5,5,2.66187567679023,1.28364064783186
N,flanked,bex,8,1.5,6,2.66116075954897,1.27114051816414
N,flanked,bex,8,1.5,7,2.65764714792995,1.27204889827257
N,flanked,bex,8,2,4,2.6611676036709,1.31149538424634
N,flanked,bex,8,2.5,0,2.65983969944586,1.29160062884491
N,flanked,bex,8,2.5,3,2.6573905749049,1.30034302029263
N,flanked,bex,8,2.5,7,2.66342620740348,1.32877132700165
N,flanked,bex,8,2.5,8,2.66555594885893,1.29022400984606
N,flanked,bex,8,3,8,2.65853776441702,1.27508708135892
N,flanked,bex,8,5,2,2.66492565565188,1.28539727112778
N,flanked,bex,8,5,3,2.66316067187582,1.32933424281565
N,flanked,bex,8,5,6,2.6609291631764,1.27529199122351
N,flanked,bex,16,0.25,7,2.66439423835052,1.31621498868114
N,flanked,bex,16,0.25,8,2.66307016876794,1.29850047934526
N,flanked,bex,16,0.25,9,2.65619556598203,1.29525074187621
N,flanked,bex,16,0.5,0,2.66219471405667,1.27435099119356
N,flanked,bex,16,0.5,5,2.66080400808566,1.31767972296451
N,flanked,bex,16,0.5,6,2.66079834799538,1.3208792223317
N,flanked,bex,16,0.5,7,2.66256654897877,1.2796391203355
N,flanked,bex,16,0.5,9,2.66060572566922,1.30736222278277
N,flanked,bex,16,1,6,2.65947822722693,1.27546028252042
N,flanked,bex,16,1.5,1,2.65895768456101,1.29794070345276
N,flanked,bex,16,1.5,2,2.65803826261204,1.32150681078345
N,flanked,bex,16,1.5,8,2.6612035441214,1.25467393600582
N,flanked,bex,16,2,0,2.66051549017922,1.30735531134525
N,flanked,bex,16,2,2,2.66238993179129,1.29780062626021
N,flanked,bex,16,2,5,2.6581414956241,1.3235009394612
N,flanked,bex,16,2.5,3,2.65788858494949,1.29394975037453
N,flanked,bex,16,2.5,8,2.6601372739748,1.29339497997101
N,flanked,bex,16,2.5,9,2.65963074394132,1.32404099779335
N,flanked,bex,16,3,0,2.65845940784151,1.27929611209469
N,flanked,bex,16,3,2,2.65902446794531,1.26499964888514
N,flanked,bex,16,3,3,2.66216228382938,1.29841447765626
N,flanked,bex,16,3,6,2.65905874230765,1.24840990639596
N,flanked,bex,16,5,3,2.66174216560374,1.25506406461087
N,flanked,bex,16,5,4,2.65797356028239,1.29082973645583
N,flanked,bex,16,5,5,2.65988373097665,1.26537652828204
N,flanked,bex,16,5,6,2.66244292675677,1.24987656814804
N,flanked,bex,16,5,8,2.65810941703887,1.26528082191537
N,flanked,bex,32,0.25,0,2.66085551169881,1.27009069393759
N,flanked,bex,32,0.25,2,2.66235615563572,1.31899276752218
N,flanked,bex,32,0.25,3,2.66115671639136,1.30431675934231
N,flanked,bex,32,0.25,6,2.66377019593697,1.32179721552246
N,flanked,bex,32,0.25,8,2.66534173247261,1.2820151170748
N,flanked,bex,32,0.5,1,2.66131770517716,1.26791203062423
N,flanked,bex,32,0.5,3,2.66128956497046,1.32797975126697
N,flanked,bex,32,0.5,8,2.66138057265295,1.30728604606265
N,flanked,bex,32,1,4,2.66051655945423,1.32585442026224
N,flanked,bex,32,1,5,2.66306483465986,1.27952015422471
N,flanked,bex,32,1.5,5,2.65936397979586,1.32537486097582
N,flanked,bex,32,1.5,6,2.65846509256215,1.2884479594787
N,flanked,bex,32,2,2,2.6570448189556,1.29889784185676
N,flanked,bex,32,2,8,2.6601037940299,1.27006146948498
N,flanked,bex,32,2,9,2.66166318863724,1.32296960306334
N,flanked,bex,32,2.5,3,2.65933076393424,1.27178315171189
N,flanked,bex,32,2.5,4,2.65866726656633,1.3016231891161
N,flanked,bex,32,2.5,5,2.65936045595737,1.285718219369
N,flanked,bex,32,2.5,9,2.65999836335206,1.31132777774794
N,flanked,bex,32,3,2,2.6574733292474,1.29204484750095
N,flanked,bex,32,3,4,2.65921958118367,1.31747714793583
N,flanked,bex,32,3,6,2.66038536204184,1.28106713902738
N,flanked,bex,32,5,0,2.65651978609301,1.245589237322
N,flanked,bex,32,5,6,2.65758931802306,1.34048207088307
N,unflanked,rf,2,0.0075,0,1.54129614487925,0.469962293954713
N,unflanked,rf,2,0.0075,1,1.54109657551664,0.464403423812852
N,unflanked,rf,2,0.0075,3,1.54102633659397,0.480142013253402
N,unflanked,rf,2,0.01,1,1.53989201318347,0.472347356202315
N,unflanked,rf,2,0.01,3,1.54055052244206,0.490282641309214
N,unflanked,rf,2,0.01,9,1.53973160542485,0.469704457616257
N,unflanked,rf,2,0.0617,1,1.54087709656989,0.493638597406536
N,unflanked,rf,2,0.0617,3,1.54107838083445,0.484647372931487
N,unflanked,rf,2,0.0617,5,1.54056856703991,0.478619148196868
N,unflanked,rf,2,0.1133,0,1.53998198228662,0.448563089609063
N,unflanked,rf,2,0.1133,4,1.53925949296815,0.485589134235446
N,unflanked,rf,2,0.1133,5,1.54109901344237,0.440595474779758
N,unflanked,rf,2,0.1133,6,1.54005510029662,0.456008725677268
N,unflanked,rf,2,0.1133,8,1.54152667120515,0.46745082255715
N,unflanked,rf,2,0.2167,0,1.54273768597526,0.489158623702036
N,unflanked,rf,2,0.2167,4,1.53966456682956,0.449061754634521
N,unflanked,rf,2,0.2683,1,1.54048985249759,0.45157166879141
N,unflanked,rf,2,0.2683,7,1.54334504360398,0.451459855593263
N,unflanked,rf,2,0.32,1,1.54235576710107,0.457044673062139
N,unflanked,rf,2,0.32,3,1.54309253392217,0.457696085339287
N,unflanked,rf,2,0.32,5,1.5440111309376,0.508498119592671
N,unflanked,rf,3,0.0075,2,1.54161408817721,0.461647658303218
N,unflanked,rf,3,0.0075,5,1.54128507236519,0.455817946369314
N,unflanked,rf,3,0.0075,8,1.54099625521146,0.495766492318549
N,unflanked,rf,3,0.0075,9,1.54150198625594,0.47675554398638
N,unflanked,rf,3,0.01,1,1.54110312676426,0.459734863897685
N,unflanked,rf,3,0.01,3,1.54088083898582,0.470842799945852
N,unflanked,rf,3,0.01,9,1.54096701215488,0.485242250328794
N,unflanked,rf,3,0.165,4,1.5412772388219,0.445208924309061
N,unflanked,rf,3,0.165,6,1.5421379960249,0.4695392073433
N,unflanked,rf,3,0.165,9,1.54167452996559,0.459805312081838
N,unflanked,rf,3,0.0617,2,1.54115767003219,0.468680691966397
N,unflanked,rf,3,0.0617,3,1.54102465527438,0.469088927334245
N,unflanked,rf,3,0.0617,4,1.54047762869053,0.470809833591186
N,unflanked,rf,3,0.1133,0,1.54110499371138,0.482398793246848
N,unflanked,rf,3,0.1133,1,1.54121507236128,0.475063920002706
N,unflanked,rf,3,0.1133,3,1.54156212962534,0.4655336543593
N,unflanked,rf,3,0.2167,2,1.54185552416133,0.446734503481619
N,unflanked,rf,3,0.2167,4,1.54188842860684,0.459861546016053
N,unflanked,rf,3,0.2167,9,1.54200448420954,0.455898493939215
N,unflanked,rf,3,0.2683,2,1.54293225931549,0.470567986539449
N,unflanked,rf,3,0.2683,4,1.54271147451977,0.493797329143055
N,unflanked,rf,3,0.32,0,1.54311856468352,0.477062299807017
N,unflanked,rf,3,0.32,4,1.54359765494216,0.459056962666704
N,unflanked,rf,3,0.32,6,1.54279021280279,0.461822276173343
N,unflanked,rf,4,0.0075,2,1.54049167423346,0.458382955040822
N,unflanked,rf,4,0.0075,5,1.5406235630535,0.444133349823359
N,unflanked,rf,4,0.0075,7,1.54005433561342,0.496662721252663
N,unflanked,rf,4,0.0075,8,1.54107604172651,0.449147808609618
N,unflanked,rf,4,0.0075,9,1.54074242501767,0.441198005849166
N,unflanked,rf,4,0.01,0,1.5397134821789,0.485015513716229
N,unflanked,rf,4,0.01,6,1.54075089800112,0.453158401761053
N,unflanked,rf,4,0.01,8,1.54210681878318,0.497580345399873
N,unflanked,rf,4,0.165,4,1.54362953480755,0.460264073359585
N,unflanked,rf,4,0.165,9,1.54095595051526,0.462711192875621
N,unflanked,rf,4,0.0617,5,1.54098723292984,0.455031906951125
N,unflanked,rf,4,0.0617,6,1.54057949969134,0.446676998125532
N,unflanked,rf,4,0.0617,8,1.54017849362835,0.443374854104943
N,unflanked,rf,4,0.1133,6,1.54057890172071,0.469600847257306
N,unflanked,rf,4,0.2167,0,1.54526332129916,0.500461382713074
N,unflanked,rf,4,0.2167,5,1.54097631969877,0.487558996244835
N,unflanked,rf,4,0.2167,7,1.54229990564506,0.473898841804711
N,unflanked,rf,4,0.2167,9,1.54178593278191,0.481991163866007
N,unflanked,rf,4,0.2683,1,1.54544557896794,0.47129593076334
N,unflanked,rf,4,0.2683,2,1.54243846394794,0.481381828217545
N,unflanked,rf,4,0.2683,4,1.54574626604904,0.456051938855276
N,unflanked,rf,4,0.2683,5,1.54186594650594,0.485207068189685
N,unflanked,rf,4,0.2683,9,1.54177001817532,0.449904796328473
N,unflanked,rf,4,0.32,6,1.54375105305005,0.459385449468048
N,unflanked,rf,4,0.32,8,1.54445588680656,0.465958223398074
N,unflanked,rf,5,0.0075,0,1.54148246417837,0.464454335459294
N,unflanked,rf,5,0.0075,7,1.54139395039716,0.474080478472486
N,unflanked,rf,5,0.01,0,1.54086638266205,0.459363203807343
N,unflanked,rf,5,0.01,7,1.54137570398039,0.473417806164418
N,unflanked,rf,5,0.165,1,1.54182787903981,0.489744030369773
N,unflanked,rf,5,0.165,3,1.54241314306926,0.482251992268115
N,unflanked,rf,5,0.165,4,1.54237441599619,0.461375532338522
N,unflanked,rf,5,0.165,5,1.54360279857203,0.459880753769596
N,unflanked,rf,5,0.0617,8,1.54082346283673,0.475225541600006
N,unflanked,rf,5,0.1133,2,1.54204133179765,0.455619267317403
N,unflanked,rf,5,0.2167,1,1.54281014855949,0.485401265023105
N,unflanked,rf,5,0.2167,2,1.54251761193799,0.451606038486733
N,unflanked,rf,5,0.2167,3,1.54425898343834,0.456018379292749
N,unflanked,rf,5,0.2167,5,1.54420807121695,0.456311214776184
N,unflanked,rf,5,0.2167,7,1.54398522442128,0.467336515697381
N,unflanked,rf,5,0.2683,0,1.54481459412496,0.451907345789608
N,unflanked,rf,5,0.2683,1,1.54467185213163,0.4452759221584
N,unflanked,rf,5,0.2683,5,1.54544741332299,0.448157657001671
N,unflanked,rf,5,0.2683,8,1.54415894704029,0.473327701512739
N,unflanked,rf,5,0.32,0,1.54398225111001,0.490288479146332
N,unflanked,rf,5,0.32,3,1.54380929482061,0.457257135676468
N,unflanked,rf,5,0.32,8,1.54426629968297,0.451491488260426
N,unflanked,rf,8,0.0075,2,1.5417449881652,0.492439643852247
N,unflanked,rf,8,0.0075,5,1.54229127357921,0.486932260705867
N,unflanked,rf,8,0.0075,8,1.54069854057523,0.449776316516169
N,unflanked,rf,8,0.01,2,1.54114569790397,0.491752151217098
N,unflanked,rf,8,0.01,3,1.54161568922579,0.455891482479198
N,unflanked,rf,8,0.01,9,1.54143086598668,0.450577376417215
N,unflanked,rf,8,0.165,0,1.54329356890525,0.49255208260946
N,unflanked,rf,8,0.165,1,1.54345386026805,0.455962701771706
N,unflanked,rf,8,0.165,3,1.54243228772678,0.468684439268943
N,unflanked,rf,8,0.165,5,1.54429311098394,0.451330137901339
N,unflanked,rf,8,0.0617,4,1.5409937762487,0.470782365667627
N,unflanked,rf,8,0.0617,8,1.54182443594034,0.46751550470389
N,unflanked,rf,8,0.0617,9,1.54189402900434,0.47484283448123
N,unflanked,rf,8,0.1133,4,1.54190044733198,0.47622893034021
N,unflanked,rf,8,0.1133,6,1.54367283088756,0.460543869934988
N,unflanked,rf,8,0.2167,1,1.54301045678403,0.465823744802546
N,unflanked,rf,8,0.2167,5,1.54359846666845,0.465100918376361
N,unflanked,rf,8,0.2167,7,1.5442603668285,0.473777000535256
N,unflanked,rf,8,0.2167,9,1.54409659947019,0.461429957391062
N,unflanked,rf,8,0.2683,3,1.54336170600115,0.474521784112897
N,unflanked,rf,8,0.2683,5,1.54322041439181,0.468321077285226
N,unflanked,rf,8,0.32,0,1.54690906011304,0.467987340597921
N,unflanked,rf,8,0.32,8,1.54244782767947,0.491113782304112
N,unflanked,rf,8,0.32,9,1.54222920482189,0.455411035756862
N,unflanked,rf,12,0.0075,1,1.54194495685176,0.486327991989103
N,unflanked,rf,12,0.0075,3,1.54233420813445,0.485909901444625
N,unflanked,rf,12,0.0075,6,1.5422884077546,0.475180794210818
N,unflanked,rf,12,0.01,2,1.54215818019642,0.451844633168244
N,unflanked,rf,12,0.165,0,1.54363973217939,0.460688165438045
N,unflanked,rf,12,0.165,5,1.54225976939659,0.451816164608595
N,unflanked,rf,12,0.165,8,1.54300047298294,0.510283606779398
N,unflanked,rf,12,0.0617,0,1.54123245268442,0.513018750835885
N,unflanked,rf,12,0.0617,1,1.54159071963553,0.478255032162939
N,unflanked,rf,12,0.0617,6,1.54185988137645,0.509511905413846
N,unflanked,rf,12,0.2167,0,1.54377185001732,0.48768891943838
N,unflanked,rf,12,0.2167,2,1.54394589820463,0.473770473780239
N,unflanked,rf,12,0.2167,3,1.54264758370541,0.452376502868737
N,unflanked,rf,12,0.2167,8,1.54283759592675,0.456724301958829
N,unflanked,rf,12,0.2683,1,1.54189562621889,0.442748496200705
N,unflanked,rf,12,0.32,0,1.54443988163762,0.454063287353739
N,unflanked,rf,12,0.32,1,1.54446823498197,0.460602160068053
N,unflanked,rf,12,0.32,2,1.5446491336283,0.489145971182839
N,unflanked,rf,12,0.32,4,1.54566352143339,0.445192923900014
N,unflanked,rf,12,0.32,6,1.54345509491665,0.481650764436835
N,unflanked,rf,12,0.32,9,1.54510800849322,0.493463969202071
N,unflanked,bex,2,0.25,1,1.54071873252921,0.448413295407035
N,unflanked,bex,2,0.25,4,1.54076327829967,0.457880043758825
N,unflanked,bex,2,0.25,8,1.54156922378468,0.448157054323003
N,unflanked,bex,2,0.5,0,1.54095153453136,0.500721949171192
N,unflanked,bex,2,0.5,5,1.54062907936348,0.494920200007943
N,unflanked,bex,2,1,6,1.54070118739983,0.444577882178827
N,unflanked,bex,2,1,9,1.54091629896023,0.4487228264524
N,unflanked,bex,2,1.5,1,1.5411275561997,0.442880979265534
N,unflanked,bex,2,1.5,7,1.54127172131928,0.472655548786378
N,unflanked,bex,2,2,0,1.54137231412696,0.460311799452788
N,unflanked,bex,2,2,1,1.54026654599253,0.456117304084139
N,unflanked,bex,2,2,4,1.54074991526898,0.456596863885664
N,unflanked,bex,2,2,6,1.54111477583707,0.446758866469933
N,unflanked,bex,2,2,9,1.54185077924572,0.473795535159741
N,unflanked,bex,2,2.5,8,1.54213734079608,0.453111715867021
N,unflanked,bex,2,2.5,9,1.54238419285451,0.450817025837107
N,unflanked,bex,2,3,3,1.54300034433297,0.452296154574482
N,unflanked,bex,2,5,3,1.54562694266132,0.474019263438202
N,unflanked,bex,2,5,4,1.54429754130856,0.450190516909925
N,unflanked,bex,2,5,9,1.54178949298029,0.457073627296328
N,unflanked,bex,4,0.25,0,1.54209534489398,0.46030123264257
N,unflanked,bex,4,0.25,2,1.54107073239585,0.45307536281188
N,unflanked,bex,4,0.25,4,1.54198564638564,0.448450041525123
N,unflanked,bex,4,0.25,6,1.54217236451238,0.494477084577067
N,unflanked,bex,4,0.25,7,1.54201036751092,0.470016258690261
N,unflanked,bex,4,0.25,8,1.54109454825087,0.481966240565887
N,unflanked,bex,4,0.5,1,1.54174899091816,0.438573244871816
N,unflanked,bex,4,1,4,1.54172647900968,0.446207882987155
N,unflanked,bex,4,1,6,1.54038530724236,0.456626860055078
N,unflanked,bex,4,1.5,6,1.54086069659686,0.440756142264796
N,unflanked,bex,4,1.5,7,1.54160163080302,0.482971780274288
N,unflanked,bex,4,2,2,1.54230183691145,0.445906269651318
N,unflanked,bex,4,2,7,1.54102756936489,0.487278065957482
N,unflanked,bex,4,2.5,2,1.54152002375052,0.457747233646865
N,unflanked,bex,4,2.5,5,1.54338750388966,0.45857033672868
N,unflanked,bex,4,3,6,1.5440360506795,0.48174031304875
N,unflanked,bex,4,3,8,1.54275157717403,0.496099180915661
N,unflanked,bex,4,5,1,1.54520521810712,0.453619373031439
