letter,distortion,freq,amplitude,rep,n_dist_flanks,FC,SE
K,bex,4,4,7,4,2.66738025145876,1.25122410967352
K,bex,4,5,1,4,2.67188160220207,1.23126499830119
K,bex,4,6,0,4,2.67907162223144,1.27779854348113
K,bex,4,7,6,4,2.68500062456464,1.24972687346246
K,bex,4,7,7,4,2.68050590912216,1.18519153366816
K,bex,4,7,8,4,2.68501638033487,1.21893914230507
D,rf,4,0.05,0,0,2.65935076295081,1.35588307563778
D,rf,4,0.05,1,0,2.66770230747757,1.34206176704774
D,rf,4,0.125,1,0,2.66338574618227,1.30208083545349
D,rf,4,0.125,5,0,2.66240580509491,1.34064272592491
D,rf,4,0.125,6,0,2.66254776754047,1.31973985438766
D,rf,4,0.125,7,0,2.66206125267118,1.33755159187968
D,rf,4,0.2,4,0,2.6680097711407,1.30263401279715
D,rf,4,0.275,0,0,2.66777497911203,1.3116177969753
D,rf,4,0.275,4,0,2.66677047821509,1.30440330985255
D,rf,4,0.275,7,0,2.66944301170551,1.29487786399746
D,rf,4,0.275,9,0,2.66528880624687,1.30545873564077
D,rf,4,0.35,2,0,2.66639168947392,1.3289521356961
D,rf,4,0.35,5,0,2.67418678761349,1.30377906880917
D,rf,4,0.35,8,0,2.67024468399298,1.30991766367663
D,rf,4,0.425,1,0,2.67704561706918,1.27506874040097
D,rf,4,0.425,4,0,2.67072648324371,1.26615610564796
D,rf,4,0.425,5,0,2.66210519095891,1.32916232275402
D,rf,4,0.5,0,0,2.67825926537244,1.28062979693367
D,rf,4,0.5,1,0,2.67234704303156,1.29578543836955
D,rf,4,0.5,6,0,2.66907239913111,1.30244711129081
D,bex,4,1,0,0,2.66162533490006,1.27132551759648
D,bex,4,1,1,0,2.66477048393106,1.3319361221712
D,bex,4,1,6,0,2.6612737582263,1.32620404075005
D,bex,4,1,7,0,2.6637621207013,1.31695117546863
D,bex,4,1,9,0,2.66172662634304,1.28375047167721
D,bex,4,2,1,0,2.66415052302528,1.2969712371438
D,bex,4,2,3,0,2.66411963921874,1.26419169424328
D,bex,4,2,4,0,2.66426964212169,1.30664038472174
D,bex,4,2,5,0,2.6628970375631,1.32378270802281
D,bex,4,4,4,0,2.66536859790638,1.27631945545126
D,bex,4,4,6,0,2.66616893401473,1.29431519068041
D,bex,4,4,7,0,2.66676287850062,1.33646818554878
D,bex,4,5,2,0,2.66388196422231,1.28593125631754
D,bex,4,5,4,0,2.66475442571191,1.28715990023012
D,bex,4,5,9,0,2.66523077260584,1.29755423020858
D,bex,4,6,0,0,2.66679579164233,1.27825777278989
D,bex,4,6,4,0,2.6688917936893,1.28292228627174
D,bex,4,6,5,0,2.67035214930635,1.28586575670657
D,bex,4,6,8,0,2.66901230863892,1.32914244140341
D,bex,4,6,9,0,2.66596564536528,1.29473352768906
D,bex,4,7,0,0,2.66749686510155,1.29105969225083
D,bex,4,7,1,0,2.67227445794272,1.2887758998097
D,bex,4,7,6,0,2.66863185041695,1.26242653397446
D,bex,4,7,9,0,2.67360862463499,1.34783021969872
D,rf,4,0.05,0,2,2.65609038394237,1.26664767078947
D,rf,4,0.05,8,2,2.65645050121545,1.28073430188205
D,rf,4,0.05,9,2,2.65052796547555,1.32135078562472
D,rf,4,0.125,0,2,2.65754261476939,1.29850231932742
D,rf,4,0.125,7,2,2.65424963958159,1.2835195308065
D,rf,4,0.125,9,2,2.65858993033743,1.3050752162711
D,rf,4,0.2,3,2,2.65103980577669,1.28133189242154
D,rf,4,0.275,2,2,2.67527748661379,1.28290099955391
D,rf,4,0.275,9,2,2.68004096537008,1.26608811550957
D,rf,4,0.35,0,2,2.66200659084425,1.26503360789711
D,rf,4,0.35,2,2,2.66664773762556,1.32165826203489
D,rf,4,0.425,1,2,2.68150151368028,1.28495783027793
D,rf,4,0.425,2,2,2.6973110602245,1.26161653639191
D,rf,4,0.425,4,2,2.67194381362005,1.24531688407802
D,rf,4,0.425,7,2,2.69823519914525,1.22431078145223
D,rf,4,0.5,0,2,2.68975494682761,1.26160987353105
D,rf,4,0.5,2,2,2.69659831310428,1.2684702813143
D,rf,4,0.5,8,2,2.68492303090331,1.28779404950494
D,bex,4,1,0,2,2.66070601133617,1.27247130779315
D,bex,4,1,1,2,2.65759882450868,1.29212105317451
D,bex,4,1,7,2,2.65462528092753,1.27295659286752
D,bex,4,2,0,2,2.65040325853235,1.29809982991268
D,bex,4,2,4,2,2.66357830308369,1.24267687820473
D,bex,4,2,6,2,2.66531915413006,1.25840097421774
D,bex,4,2,8,2,2.65685427263747,1.30109965638838
D,bex,4,2,9,2,2.66367141725996,1.24764170335394
D,bex,4,3,4,2,2.6622932400198,1.25811567259917
D,bex,4,3,7,2,2.66557274758179,1.26617308727062
D,bex,4,4,8,2,2.66922829851952,1.25369675382768
D,bex,4,5,1,2,2.67652546014509,1.23860065142431
D,bex,4,5,3,2,2.67268208765128,1.25411404857096
D,bex,4,5,4,2,2.66434097397882,1.25227331234751
D,bex,4,5,8,2,2.67117665835134,1.2770301427275
D,bex,4,6,7,2,2.67878428152076,1.2768455659164
D,bex,4,6,9,2,2.65318201906208,1.24744974009599
D,bex,4,7,2,2,2.67605668945667,1.26123233968145
D,bex,4,7,5,2,2.68135523907497,1.22449021556566
D,bex,4,7,8,2,2.66856832632586,1.23141706203524
D,rf,4,0.05,7,4,2.64682128286644,1.33146034529375
D,rf,4,0.125,2,4,2.64476072135798,1.25848637748003
D,rf,4,0.125,4,4,2.65285537288021,1.26685212643406
D,rf,4,0.2,2,4,2.65285200013553,1.23932198747274
D,rf,4,0.2,4,4,2.65078843596036,1.2601162480258
D,rf,4,0.2,6,4,2.65824466482594,1.32650194429976
D,rf,4,0.2,7,4,2.65414965336549,1.26079263836028
D,rf,4,0.275,1,4,2.67544859381645,1.24240938565373
D,rf,4,0.275,9,4,2.67185068651433,1.25227887134476
D,rf,4,0.35,2,4,2.69536368564824,1.23220041308827
D,rf,4,0.35,9,4,2.66743423233193,1.25818795337724
D,rf,4,0.425,4,4,2.6812064225208,1.22280489407746
D,rf,4,0.425,8,4,2.68882919060023,1.2269926752715
D,rf,4,0.5,0,4,2.70127926404718,1.21250560344955
D,rf,4,0.5,2,4,2.71827368162248,1.26218751247875
D,rf,4,0.5,5,4,2.6883589404878,1.19215526125623
D,rf,4,0.5,8,4,2.74584747358353,1.28051566679183
D,bex,4,2,1,4,2.66018188386837,1.27208858130021
D,bex,4,2,6,4,2.65860951725335,1.31199765603104
D,bex,4,2,7,4,2.6580977936181,1.22921149497218
D,bex,4,3,5,4,2.66605220020732,1.25645434381798
D,bex,4,4,3,4,2.67207310084887,1.2185594534321
D,bex,4,4,5,4,2.67141319617526,1.27844677682813
D,bex,4,4,8,4,2.67072541326233,1.30886777725281
D,bex,4,4,9,4,2.67339085699721,1.25780266618867
D,bex,4,5,2,4,2.67803688536907,1.23771279036734
D,bex,4,5,3,4,2.68579880462659,1.27640986409657
D,bex,4,6,1,4,2.68493739626422,1.26151039679617
D,bex,4,6,2,4,2.68711958533925,1.21563286081074
D,bex,4,6,5,4,2.67921316117434,1.24144351470546
D,bex,4,6,7,4,2.68042051551886,1.20833673487639
D,bex,4,6,8,4,2.68573722509773,1.21767473043139
D,bex,4,7,0,4,2.68402707643491,1.27000016417061
D,bex,4,7,4,4,2.68333653942569,1.24293347089017
D,bex,4,7,5,4,2.68519479980644,1.18446602521269
H,rf,4,0.05,2,0,2.65972866944781,1.32904542887244
H,rf,4,0.05,5,0,2.6631618230109,1.28450907812293
H,rf,4,0.05,9,0,2.6653294950742,1.3161451879933
H,rf,4,0.125,3,0,2.66245552480902,1.29754422750823
H,rf,4,0.125,8,0,2.66362133950865,1.28588708398512
H,rf,4,0.2,1,0,2.66308314637488,1.31537652831574
H,rf,4,0.2,5,0,2.66496832485672,1.29146902394729
H,rf,4,0.2,6,0,2.66449023748051,1.26386730322162
H,rf,4,0.2,9,0,2.66876228413709,1.27743433201054
H,rf,4,0.275,2,0,2.66987024094118,1.33662172563979
H,rf,4,0.275,3,0,2.66758133013737,1.30587661035313
H,rf,4,0.35,3,0,2.66708199041013,1.29103960598859
H,rf,4,0.35,4,0,2.6643715802347,1.29570868893082
H,rf,4,0.35,9,0,2.67214993868703,1.30400922121758
H,rf,4,0.425,2,0,2.67238459952681,1.28432583593029
H,rf,4,0.425,3,0,2.67213170512245,1.28049242082394
H,rf,4,0.425,9,0,2.66896264073981,1.32428076421561
H,rf,4,0.5,4,0,2.66555365578467,1.30522874852327
H,rf,4,0.5,8,0,2.66484488093249,1.30252528070041
H,rf,4,0.5,9,0,2.66673717189351,1.30191608299963
H,bex,4,3,4,0,2.66678011304257,1.30070052144924
H,bex,4,3,7,0,2.66056066973173,1.29781186457405
H,bex,4,3,9,0,2.66684546750592,1.27875506808583
H,bex,4,4,1,0,2.66858922452677,1.27592004795696
H,bex,4,4,5,0,2.66841683973044,1.30199311511501
H,bex,4,4,9,0,2.66580379997736,1.31851467295541
H,bex,4,5,0,0,2.66741613714563,1.30628336491171
H,bex,4,5,6,0,2.66994023635244,1.30679153117203
H,bex,4,6,1,0,2.6746173046668,1.31640468364058
H,bex,4,6,6,0,2.67385052541642,1.28608604417903
H,bex,4,6,7,0,2.67213440992452,1.27352262079909
H,bex,4,7,4,0,2.67148341350267,1.30523482446897
H,bex,4,7,5,0,2.67245494902939,1.30771901568105
H,bex,4,7,8,0,2.66996299797249,1.28011169476019
H,rf,4,0.05,1,2,2.6531682111742,1.24815258435657
H,rf,4,0.125,1,2,2.65708291942689,1.31097990668804
H,rf,4,0.125,2,2,2.65506966311418,1.28727056245005
H,rf,4,0.125,8,2,2.66038593140495,1.2610698571033
H,rf,4,0.2,2,2,2.65289316109637,1.26609871896912
H,rf,4,0.2,4,2,2.66709561889505,1.28152652069863
H,rf,4,0.2,6,2,2.65931535129812,1.30598655985193
H,rf,4,0.275,1,2,2.67041698478375,1.30210518068536
H,rf,4,0.275,5,2,2.66726714108221,1.24387705074468
H,rf,4,0.275,6,2,2.67191449899872,1.34731843778227
H,rf,4,0.35,3,2,2.66808398401208,1.2733901655844
H,rf,4,0.35,7,2,2.68818511007827,1.24171907784204
H,rf,4,0.35,9,2,2.67888972460888,1.2707503940574
H,rf,4,0.425,0,2,2.69666117445503,1.24841855339072
H,rf,4,0.425,8,2,2.68447381830284,1.29615456815646
H,rf,4,0.5,3,2,2.6843885809401,1.25038732460147
H,rf,4,0.5,4,2,2.71002770020245,1.28613563580657
H,rf,4,0.5,5,2,2.70924376704214,1.22665125168302
H,rf,4,0.5,7,2,2.67299348183545,1.27426331766651
H,bex,4,1,2,2,2.66004458020146,1.34319158682519
H,bex,4,2,2,2,2.6670110325882,1.27192428331676
H,bex,4,3,2,2,2.66807032539154,1.25369568695424
H,bex,4,3,8,2,2.66308751605394,1.28265080643711
H,bex,4,4,0,2,2.67126108479255,1.32882839566614
H,bex,4,4,3,2,2.67193220405055,1.32374354510726
H,bex,4,4,6,2,2.66761228048241,1.22820347618588
H,bex,4,5,5,2,2.6692333640758,1.24642125664747
H,bex,4,6,1,2,2.68575422521608,1.26060649924643
H,bex,4,6,2,2,2.69641120455356,1.31605104966199
H,bex,4,6,4,2,2.66885146976159,1.26656629192005
H,bex,4,6,5,2,2.67164363722884,1.25754130313262
H,bex,4,7,4,2,2.67047164863593,1.32279601049906
H,rf,4,0.05,1,4,2.65271134500502,1.28494055171321
H,rf,4,0.05,4,4,2.64636596615547,1.25404290480643
H,rf,4,0.05,5,4,2.65238253254078,1.30646973768869
H,rf,4,0.125,0,4,2.6441321413067,1.27831473840572
H,rf,4,0.275,4,4,2.66549081788691,1.26587315389742
H,rf,4,0.275,5,4,2.66865888732693,1.29656998148498
H,rf,4,0.275,7,4,2.659147608629,1.26094179649832
H,rf,4,0.275,8,4,2.65707249919846,1.25239437492277
H,rf,4,0.35,0,4,2.6703970115827,1.24509241821254
H,rf,4,0.35,1,4,2.67924882597901,1.27521009598162
H,rf,4,0.35,3,4,2.68453589692688,1.26638132117791
H,rf,4,0.35,6,4,2.67866273163068,1.27437940181767
H,rf,4,0.35,8,4,2.68279529136579,1.22170746402629
H,rf,4,0.425,0,4,2.68503936008706,1.21324272593033
H,rf,4,0.425,5,4,2.69029404841177,1.24864224930334
H,rf,4,0.425,7,4,2.69222348666739,1.28684308674197
H,rf,4,0.5,1,4,2.71336448259262,1.2425646747401
H,rf,4,0.5,4,4,2.69322428325942,1.25057833599204
H,rf,4,0.5,6,4,2.69474480532061,1.23166133591023
H,bex,4,1,0,4,2.65195534648554,1.28624945490513
H,bex,4,1,1,4,2.6569163137167,1.25880854675647
H,bex,4,1,2,4,2.65012393854165,1.265135162189
H,bex,4,1,3,4,2.65483360856218,1.29047600579458
H,bex,4,1,4,4,2.65648709653757,1.29003428086907
H,bex,4,1,6,4,2.65802489093225,1.27255157253772
H,bex,4,1,7,4,2.6531175707041,1.23819366576224
H,bex,4,2,0,4,2.66506520166849,1.24006163275802
H,bex,4,2,3,4,2.65718579885857,1.27058499889524
H,bex,4,2,5,4,2.65699653392235,1.2420876874409
H,bex,4,2,8,4,2.65671705688102,1.29570747575987
H,bex,4,3,2,4,2.66558901649517,1.24573202866365
H,bex,4,3,6,4,2.67501399840478,1.2989460817435
H,bex,4,3,8,4,2.66102011307114,1.23198236822831
H,bex,4,4,0,4,2.66742687950692,1.23698433547517
H,bex,4,4,2,4,2.67221545303755,1.253230256852
H,bex,4,5,8,4,2.68050856581203,1.24744408950067
H,bex,4,5,9,4,2.67542510816108,1.24951992434012
H,bex,4,6,6,4,2.68728509093676,1.22017358382214
H,bex,4,6,9,4,2.68495431918609,1.25459764473957
H,bex,4,7,1,4,2.69119388668133,1.21743686007411
H,bex,4,7,2,4,2.69033834969353,1.25080145309812
H,bex,4,7,9,4,2.69883917370293,1.27553919891717
